#Nouns
##masculine - singular
###hard consonant - animate
 $	 $	NOUN-common-masculine-singular-animateate
 $	a$	NOUN-common-masculine-singular-animateate
 $	ej$	NOUN-common-masculine-singular-animateate
 $	a$	NOUN-common-masculine-singular-animateate
 $	om$	NOUN-common-masculine-singular-animateate
 $	je$	NOUN-common-masculine-singular-animateate
 $	o$	NOUN-common-masculine-singular-animateate
###soft consonant - animate
 $	 $	NOUN-common-masculine-singular-animateate
 $	ja$	NOUN-common-masculine-singular-animateate
 $	jej$	NOUN-common-masculine-singular-animateate
 $	ja$	NOUN-common-masculine-singular-animateate
 $	jom$	NOUN-common-masculine-singular-animateate
 $	ju$	NOUN-common-masculine-singular-animateate
 $	je$	NOUN-common-masculine-singular-animateate
###hard consonant - inanimate
 $	 $	NOUN-common-masculine-singular-inanimate
 $	a$	NOUN-common-masculine-singular-inanimate
 $	ej$	NOUN-common-masculine-singular-inanimate
 $	 $	NOUN-common-masculine-singular-inanimate
 $	om$	NOUN-common-masculine-singular-inanimate
 $	je$	NOUN-common-masculine-singular-inanimate
 $	o$	NOUN-common-masculine-singular-inanimate
###soft consonant - inanimate
 $	 $	NOUN-common-masculine-singular-inanimate
 $	a$	NOUN-common-masculine-singular-inanimate
 $	ej$	NOUN-common-masculine-singular-inanimate
 $	 $	NOUN-common-masculine-singular-inanimate
 $	om$	NOUN-common-masculine-singular-inanimate
 $	u$	NOUN-common-masculine-singular-inanimate
 $	o$	NOUN-common-masculine-singular-inanimate 
##feminine - singular
###hard consonant
a$	a$	NOUN-common-feminine-singular-inanimate,animate
a$	y$	NOUN-common-feminine-singular-inanimate,animate
a$	je$	NOUN-common-feminine-singular-inanimate,animate
a$	u$	NOUN-common-feminine-singular-inanimate,animate
a$	u$	NOUN-common-feminine-singular-inanimate,animate
a$	je$	NOUN-common-feminine-singular-inanimate,animate
##neuter - singular
###hard consonant
o$	o$	NOUN-common-neuter-singular-inanimate,animate
o$	a$	NOUN-common-neuter-singular-inanimate,animate
o$	u$	NOUN-common-neuter-singular-inanimate,animate
o$	o$	NOUN-common-neuter-singular-inanimate,animate
o$	om$	NOUN-common-neuter-singular-inanimate,animate
o$	je$	NOUN-common-neuter-singular-inanimate,animate
o$	u$	NOUN-common-neuter-singular-inanimate,animate
###soft consonant
je$	je$	NOUN-common-neuter-singular-inanimate,animate
je$	ja$	NOUN-common-neuter-singular-inanimate,animate
je$	ju$	NOUN-common-neuter-singular-inanimate,animate
je$	je$	NOUN-common-neuter-singular-inanimate,animate
je$	jom$	NOUN-common-neuter-singular-inanimate,animate
je$	ju$	NOUN-common-neuter-singular-inanimate,animate
#masculine - dual
###hard consonant - animate
 $	aj$	NOUN-common-masculine-dual-animate
 $	ow$	NOUN-common-masculine-dual-animate
 $	omaj$	NOUN-common-masculine-dual-animate
 $	ow$	NOUN-common-masculine-dual-animate
 $	omaj$	NOUN-common-masculine-dual-animate
 $	omaj$	NOUN-common-masculine-dual-animate
###soft consonant - animate
 $	ej$	NOUN-common-masculine-dual-animate
 $	ow$	NOUN-common-masculine-dual-animate
 $	omaj$	NOUN-common-masculine-dual-animate
 $	ow$	NOUN-common-masculine-dual-animate
 $	omaj$	NOUN-common-masculine-dual-animate
 $	omaj$	NOUN-common-masculine-dual-animate
###hard consonant - inanimateate
 $	aj$	NOUN-common-masculine-dual-inanimate
 $	ow$	NOUN-common-masculine-dual-inanimate
 $	omaj$	NOUN-common-masculine-dual-inanimate
 $	aj$	NOUN-common-masculine-dual-inanimate
 $	omaj$	NOUN-common-masculine-dual-inanimate
 $	omaj$	NOUN-common-masculine-dual-inanimate
###soft consonant - inanimateate
 $	ej$	NOUN-common-masculine-dual-inanimate
 $	ow$	NOUN-common-masculine-dual-inanimate
 $	omaj$	NOUN-common-masculine-dual-inanimate
 $	ej$	NOUN-common-masculine-dual-inanimate
 $	omaj$	NOUN-common-masculine-dual-inanimate
 $	omaj$	NOUN-common-masculine-dual-inanimate
#feminine - dual
###hard consonant
a$	je$	NOUN-common-feminine-dual-inanimate,animate
a$	ow$	NOUN-common-feminine-dual-inanimate,animate
a$	omaj$	NOUN-common-feminine-dual-inanimate,animate
a$	je$	NOUN-common-feminine-dual-inanimate,animate
a$	omaj$	NOUN-common-feminine-dual-inanimate,animate
a$	omaj$	NOUN-common-feminine-dual-inanimate,animate
###soft consonant
ja$	i$	NOUN-common-feminine-dual-inanimate,animate
ja$	jow$	NOUN-common-feminine-dual-inanimate,animate
ja$	jomaj$	NOUN-common-feminine-dual-inanimate,animate
ja$	i$	NOUN-common-feminine-dual-inanimate,animate
ja$	jomaj$	NOUN-common-feminine-dual-inanimate,animate
ja$	jomaj$	NOUN-common-feminine-dual-inanimate,animate
 $	i$	NOUN-common-feminine-dual-inanimate,animate
 $	jow$	NOUN-common-feminine-dual-inanimate,animate
 $	jomaj$	NOUN-common-feminine-dual-inanimate,animate
 $	i$	NOUN-common-feminine-dual-inanimate,animate
 $	jomaj$	NOUN-common-feminine-dual-inanimate,animate
 $	jomaj$	NOUN-common-feminine-dual-inanimate,animate
#neuter - dual
###hard consonant
o$	je$	NOUN-common-neuter-dual-inanimate,animate
o$	ow$	NOUN-common-neuter-dual-inanimate,animate
o$	omaj$	NOUN-common-neuter-dual-inanimate,animate
o$	je$	NOUN-common-neuter-dual-inanimate,animate
o$	omaj$	NOUN-common-neuter-dual-inanimate,animate
o$	omaj$	NOUN-common-neuter-dual-inanimate,animate
###soft consonant
o$	i$	NOUN-common-neuter-dual-inanimate,animate
o$	ow$	NOUN-common-neuter-dual-inanimate,animate
o$	omaj$	NOUN-common-neuter-dual-inanimate,animate
o$	i$	NOUN-common-neuter-dual-inanimate,animate
o$	omaj$	NOUN-common-neuter-dual-inanimate,animate
o$	omaj$	NOUN-common-neuter-dual-inanimate,animate
je$	i$	NOUN-common-neuter-dual-inanimate,animate
je$	jow$	NOUN-common-neuter-dual-inanimate,animate
je$	jomaj$	NOUN-common-neuter-dual-inanimate,animate
je$	i$	NOUN-common-neuter-dual-inanimate,animate
je$	jomaj$	NOUN-common-neuter-dual-inanimate,animate
je$	jomaj$	NOUN-common-neuter-dual-inanimate,animate
#masculine/feminine - plural
###hard consonant - animate
 $	ojo$	NOUN-common-masculine,feminine-plural-animate
 $	ow$	NOUN-common-masculine,feminine-plural-animate
 $	am$	NOUN-common-masculine,feminine-plural-animate
 $	ow$	NOUN-common-masculine,feminine-plural-animate
 $	ami$	NOUN-common-masculine,feminine-plural-animate
 $	ach$	NOUN-common-masculine,feminine-plural-animate
a$	ojo$	NOUN-common-masculine,feminine-plural-animate
a$	ow$	NOUN-common-masculine,feminine-plural-animate
a$	am$	NOUN-common-masculine,feminine-plural-animate
a$	ow$	NOUN-common-masculine,feminine-plural-animate
a$	ami$	NOUN-common-masculine,feminine-plural-animate
a$	ach$	NOUN-common-masculine,feminine-plural-animate
###soft consonant - animate
ja$	ojo$	NOUN-common-masculine,feminine-plural-animate
ja$	ow$	NOUN-common-masculine,feminine-plural-animate
ja$	am$	NOUN-common-masculine,feminine-plural-animate
ja$	ow$	NOUN-common-masculine,feminine-plural-animate
ja$	emi$	NOUN-common-masculine,feminine-plural-animate
ja$	ach$	NOUN-common-masculine,feminine-plural-animate
###hard consonant - inanimateate
 $	y$	NOUN-common-masculine,feminine-plural-inanimate
 $	ow$	NOUN-common-masculine,feminine-plural-inanimate
 $	am$	NOUN-common-masculine,feminine-plural-inanimate
 $	y$	NOUN-common-masculine,feminine-plural-inanimate
 $	ami$	NOUN-common-masculine,feminine-plural-inanimate
 $	ach$	NOUN-common-masculine,feminine-plural-inanimate
a$	y$	NOUN-common-masculine,feminine-plural-inanimate
a$	ow$	NOUN-common-masculine,feminine-plural-inanimate
a$	am$	NOUN-common-masculine,feminine-plural-inanimate
a$	y$	NOUN-common-masculine,feminine-plural-inanimate
a$	ami$	NOUN-common-masculine,feminine-plural-inanimate
a$	ach$	NOUN-common-masculine,feminine-plural-inanimate 
###soft consonant - inanimateate
 $	e$	NOUN-common-masculine,feminine-plural-inanimate
 $	ow$	NOUN-common-masculine,feminine-plural-inanimate
 $	am$	NOUN-common-masculine,feminine-plural-inanimate
 $	e$	NOUN-common-masculine,feminine-plural-inanimate
 $	emi$	NOUN-common-masculine,feminine-plural-inanimate
 $	ach$	NOUN-common-masculine,feminine-plural-inanimate
ja$	je$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jow$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jam$	NOUN-common-masculine,feminine-plural-inanimate
ja$	je$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jemi$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jach$	NOUN-common-masculine,feminine-plural-inanimate 
#neuter - plural
###hard consonant
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	ow$	NOUN-common-neuter-plural-inanimate,animate
o$	am$	NOUN-common-neuter-plural-inanimate,animate
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	ami$	NOUN-common-neuter-plural-inanimate,animate
o$	ach$	NOUN-common-neuter-plural-inanimate,animate
###soft consonant
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	ow$	NOUN-common-neuter-plural-inanimate,animate
o$	am$	NOUN-common-neuter-plural-inanimate,animate
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	emi$	NOUN-common-neuter-plural-inanimate,animate
o$	ach$	NOUN-common-neuter-plural-inanimate,animate
je$	ja$	NOUN-common-neuter-plural-inanimate,animate
je$	jow$	NOUN-common-neuter-plural-inanimate,animate
je$	jam$	NOUN-common-neuter-plural-inanimate,animate
je$	ja$	NOUN-common-neuter-plural-inanimate,animate
je$	jemi$	NOUN-common-neuter-plural-inanimate,animate
je$	jach$	NOUN-common-neuter-plural-inanimate,animate
#Adjectives
## masculine - singular
### hard consonant
y$	y$	ADJ-masculine-singular
y$	eho$	ADJ-masculine-singular
y$	emu$	ADJ-masculine-singular
y$	y$	ADJ-masculine-singular
y$	ym$	ADJ-masculine-singular
y$	ym$	ADJ-masculine-singular
### soft consonant
i$	i$	ADJ-masculine-singular
i$	jeho$	ADJ-masculine-singular
